Row 1: Num | ID | Work Item Type | Title | Test Step | Step Action | Step Expected | Area Path
Row 2: 1 | 8906680 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][Localdevicesecurityoptions][Accounts]: Add new Microsoft accounts |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 3:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 4:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 5:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 6:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 7:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 8:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 9:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 10:  |  |  |  | 4 | selected "Local device security options" -  "Accounts"  <NL> Set "Add new Microsoft accounts" settings to "Block" and "Next" |  <NL>  | 
Row 11:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 12:  |  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 13:  |  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 14:  |  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 15:  |  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 16:  |  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 17:  |  |  |  | 6.1 | Open the "Settings" App |  <NL>  | 
Row 18:  |  |  |  | 6.2 | Click "Accounts" |  <NL>  | 
Row 19:  |  |  |  | 6.3 | Click "Access work or School" |  <NL>  | 
Row 20:  |  |  |  | 6.4 | Click"Connect“  and enter the IW User email address that you want to deploy the Windows Profiles against. If you haven't created IW User or put the user into a group that is used to assign the Profile (policy), do it from Azure portal's "Users and Groups" blade before this step. Click "Next" after entering the account email. |  <NL>  | 
Row 21:  |  |  |  | 6.5 | Repeat Step4 and Step5 one more time to complete the MDM enrollment. First time "Connect" adds the "Connected to Microsoft MDM" icon. Enter the password for the user when prompted. |  <NL>  | 
Row 22:  |  |  |  | 6.6 | Click the "Info" button and click "Sync" button |  <NL>  | 
Row 23:  |  |  |  | 6.7 | Wait 5-10 minutes to allow profile assign to device |  <NL>  | 
Row 24:  |  |  |  | 7 | In the same window that was used at step 6. above, locate the "Advanced Diagnostic Report" situated at the bottom of the page, and click on the "Create report" button.  <NL>  |  <NL>  | 
Row 25:  |  |  |  | 8 | Click the "Export" button in the popup window - this will cause the log files to be exported to the file "c:\users\Public\Documents\MDMDiagnostics\MDMDiagReport.html" <NL>  |  <NL>  | 
Row 26:  |  |  |  | 9 | Double click on the file name, by default it will open with Edge. <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can find ”Accounts_BlockMicrosoftAccounts" .   <NL>  Accounts_BlockMicrosoftAccounts Should be 1. | 
Row 27:  |  |  |  | 10 | Reopen the profile and changed the settings to "Not configured" and "Show" the change and "Sync" the Device  <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can't find ”Accounts_BlockMicrosoftAccounts“ .  | 
Row 28: 2 | 8906713 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][Accounts]: Remote log on without password |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 29:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 30:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 31:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 32:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 33:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 34:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 35:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 36:  |  |  |  | 4 | selected "Local Device Security Options" -  "Accounts"  <NL> Set "Remote log on without password" settings to "Block" and "Next" <NL>  |  <NL>  | 
Row 37:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
